id,cargo_type,commodity,quantity,origin,destination_port_id,laycan_start,laycan_end,contract_preference,required_vessel_type,loading_date,discharge_deadline,priority,contract_type,freight_rate,currency,charter_duration,special_requirements,created_at
9480,Coking Coal,Hard Coking Coal,147300,"Port Hedland, Australia",1,2021-03-30,2021-04-13,Spot,Capesize,2021-04-02,2021-05-01,Normal,Spot,20.31,USD,30,Geared vessel required,2021-03-10T00:00:00Z
9481,Coking Coal,PCI Coal,78800,"Newcastle, Australia",2,2024-02-12,2024-02-17,Spot,Panamax,2024-02-14,2024-03-18,Normal,Spot,21.38,USD,30,Geared vessel required,2024-01-21T00:00:00Z
9482,Iron Ore,Lump Ore,81700,"Norfolk, USA",1,2021-01-25,2021-02-01,CoA,Panamax,2021-01-28,2021-03-16,Normal,CoA,39.72,USD,50,Standard,2021-01-17T00:00:00Z
9483,Coking Coal,PCI Coal,65500,"Vostochny, Russia",9,2021-08-08,2021-08-13,CoA,Panamax,2021-08-11,2021-09-28,Normal,CoA,37.88,USD,50,Standard,2021-07-25T00:00:00Z
9484,Coking Coal,Hard Coking Coal,163400,"Gladstone, Australia",3,2021-10-17,2021-10-22,CoA,Capesize,2021-10-18,2021-11-15,Normal,CoA,20.65,USD,30,Standard,2021-09-22T00:00:00Z
9485,Coking Coal,PCI Coal,75600,"Samarinda, Indonesia",1,2022-11-09,2022-11-14,Spot,Panamax,2022-11-10,2022-11-30,Normal,Spot,15.76,USD,20,Standard,2022-10-14T00:00:00Z
9486,Coking Coal,PCI Coal,66800,"Vostochny, Russia",1,2024-11-10,2024-11-20,Spot,Panamax,2024-11-13,2025-01-01,Normal,Spot,38.21,USD,50,Standard,2024-10-21T00:00:00Z
9487,Coking Coal,Semi-Soft Coking Coal,69100,"Gladstone, Australia",3,2021-07-05,2021-07-12,Spot,Panamax,2021-07-11,2021-08-08,Normal,Spot,24.81,USD,30,Standard,2021-06-27T00:00:00Z
9488,Thermal Coal,Indonesian High Calorie Coal,68400,"Samarinda, Indonesia",4,2022-03-17,2022-03-24,Spot,Panamax,2022-03-22,2022-04-12,Normal,Spot,15.97,USD,20,Standard,2022-02-25T00:00:00Z
9489,Coking Coal,Semi-Soft Coking Coal,158600,"Newcastle, Australia",3,2022-10-31,2022-11-05,Spot,Capesize,2022-11-03,2022-12-01,Normal,Spot,19.62,USD,30,Standard,2022-10-15T00:00:00Z
9490,Iron Ore,Iron Ore Fines 62% Fe,77900,"Hay Point, Australia",2,2023-08-30,2023-09-04,Spot,Panamax,2023-08-31,2023-10-01,Normal,Spot,27.04,USD,30,Standard,2023-08-05T00:00:00Z
9491,Coking Coal,Semi-Soft Coking Coal,56600,"Samarinda, Indonesia",5,2023-10-28,2023-11-07,Spot,Supramax,2023-10-31,2023-11-23,Normal,Spot,11.07,USD,20,Standard,2023-10-20T00:00:00Z
9492,Coking Coal,Hard Coking Coal,140400,"Port Hedland, Australia",3,2022-05-25,2022-06-01,CoA,Capesize,2022-05-31,2022-07-02,Normal,CoA,21.06,USD,30,Standard,2022-05-04T00:00:00Z
9493,Coking Coal,Hard Coking Coal,68600,"Balikpapan, Indonesia",4,2022-04-19,2022-05-03,CoA,Panamax,2022-04-25,2022-05-15,Normal,CoA,13.22,USD,20,Standard,2022-04-09T00:00:00Z
9494,Limestone,SMS Grade Limestone,73800,"Gladstone, Australia",1,2024-10-30,2024-11-06,Spot,Panamax,2024-11-03,2024-11-30,High,Spot,24.33,USD,30,Geared vessel required,2024-10-02T00:00:00Z
9495,Coking Coal,Hard Coking Coal,75200,"Norfolk, USA",3,2021-04-30,2021-05-05,Spot,Panamax,2021-05-02,2021-06-20,Normal,Spot,39.1,USD,50,Standard,2021-04-21T00:00:00Z
9496,Coking Coal,Semi-Soft Coking Coal,151200,"Tanjung Priok, Indonesia",3,2025-03-24,2025-04-03,CoA,Capesize,2025-03-26,2025-04-16,Normal,CoA,13.01,USD,20,Standard,2025-03-03T00:00:00Z
9497,Limestone,SMS Grade Limestone,69000,"Maputo, Mozambique",1,2022-11-02,2022-11-09,Spot,Panamax,2022-11-06,2022-12-28,Normal,Spot,39.41,USD,50,Standard,2022-10-19T00:00:00Z
9498,Coking Coal,Hard Coking Coal,69000,"Hay Point, Australia",2,2021-06-27,2021-07-02,Spot,Panamax,2021-06-30,2021-07-28,Normal,Spot,22.67,USD,30,Standard,2021-06-07T00:00:00Z
9499,Coking Coal,Semi-Soft Coking Coal,76500,"Hay Point, Australia",3,2025-08-16,2025-08-23,CoA,Panamax,2025-08-19,2025-09-17,Normal,CoA,24.45,USD,30,Standard,2025-08-06T00:00:00Z
9500,Coking Coal,Hard Coking Coal,163400,"Port Hedland, Australia",4,2023-05-31,2023-06-10,Spot,Capesize,2023-06-04,2023-07-07,Normal,Spot,20.1,USD,30,Standard,2023-05-02T00:00:00Z
9501,Thermal Coal,Indonesian High Calorie Coal,59000,"Vostochny, Russia",6,2022-06-11,2022-06-16,Spot,Supramax,2022-06-15,2022-08-05,Urgent,Spot,39.4,USD,50,Standard,2022-05-14T00:00:00Z
9502,Coking Coal,Semi-Soft Coking Coal,77800,"Gladstone, Australia",1,2023-03-27,2023-04-06,Spot,Panamax,2023-04-02,2023-05-05,Urgent,Spot,22.39,USD,30,Standard,2023-03-08T00:00:00Z
9503,Coking Coal,Hard Coking Coal,163600,"Hay Point, Australia",1,2022-07-15,2022-07-20,Spot,Capesize,2022-07-18,2022-08-16,Normal,Spot,19.74,USD,30,Geared vessel required,2022-07-07T00:00:00Z
9504,Limestone,Calcined Lime,67700,"Hay Point, Australia",4,2024-11-04,2024-11-09,Spot,Panamax,2024-11-06,2024-12-09,Normal,Spot,23.11,USD,30,Standard,2024-10-15T00:00:00Z
9505,Iron Ore,Iron Ore Pellets,68300,"Vostochny, Russia",4,2024-08-14,2024-08-19,Spot,Panamax,2024-08-18,2024-10-04,High,Spot,36.02,USD,50,Standard,2024-07-21T00:00:00Z
9506,Thermal Coal,Indonesian High Calorie Coal,81000,"Maputo, Mozambique",3,2024-10-25,2024-11-01,Spot,Panamax,2024-10-29,2024-12-18,Normal,Spot,37.93,USD,50,Standard,2024-10-15T00:00:00Z
9507,Coking Coal,PCI Coal,71800,"Maputo, Mozambique",1,2021-02-08,2021-02-15,CoA,Panamax,2021-02-10,2021-03-30,Normal,CoA,40.04,USD,50,Low moisture cargo,2021-01-20T00:00:00Z
9508,Coking Coal,PCI Coal,163900,"Tanjung Priok, Indonesia",1,2025-01-22,2025-01-27,Spot,Capesize,2025-01-25,2025-02-16,Normal,Spot,11.83,USD,20,Standard,2024-12-24T00:00:00Z
9509,Coking Coal,Semi-Soft Coking Coal,79300,"Baltimore, USA",9,2021-06-26,2021-07-03,Spot,Panamax,2021-06-30,2021-08-19,High,Spot,38.33,USD,50,Standard,2021-06-03T00:00:00Z
9510,Iron Ore,Iron Ore Pellets,65600,"Tanjung Priok, Indonesia",2,2021-01-09,2021-01-16,Spot,Panamax,2021-01-13,2021-02-05,Normal,Spot,15.59,USD,20,Standard,2020-12-17T00:00:00Z
9511,Coking Coal,PCI Coal,169200,"Gladstone, Australia",4,2021-08-29,2021-09-05,Spot,Capesize,2021-08-30,2021-10-02,Normal,Spot,19.74,USD,30,Standard,2021-08-04T00:00:00Z
9512,Iron Ore,Lump Ore,61400,"Gladstone, Australia",3,2024-08-06,2024-08-16,Spot,Supramax,2024-08-11,2024-09-10,Normal,Spot,21.3,USD,30,Standard,2024-07-19T00:00:00Z
9513,Coking Coal,PCI Coal,50300,"Port Hedland, Australia",4,2024-07-16,2024-07-21,Spot,Supramax,2024-07-20,2024-08-21,Normal,Spot,21.4,USD,30,Standard,2024-07-05T00:00:00Z
9514,Iron Ore,Iron Ore Fines 62% Fe,69200,"Hay Point, Australia",1,2021-02-01,2021-02-08,Spot,Panamax,2021-02-07,2021-03-07,Normal,Spot,23.99,USD,30,Standard,2021-01-07T00:00:00Z
9515,Coking Coal,Hard Coking Coal,74600,"Balikpapan, Indonesia",4,2023-08-25,2023-08-30,Spot,Panamax,2023-08-27,2023-09-18,Normal,Spot,14.75,USD,20,Standard,2023-08-10T00:00:00Z
9516,Coking Coal,PCI Coal,66400,"Newcastle, Australia",9,2026-02-12,2026-02-22,Spot,Panamax,2026-02-16,2026-03-18,Normal,Spot,24.72,USD,30,Standard,2026-01-21T00:00:00Z
9517,Coking Coal,PCI Coal,160800,"Hay Point, Australia",3,2024-10-16,2024-10-26,CoA,Capesize,2024-10-25,2024-11-21,High,CoA,19.42,USD,30,Standard,2024-09-24T00:00:00Z
9518,Coking Coal,Semi-Soft Coking Coal,60300,"Newcastle, Australia",2,2025-04-18,2025-04-25,Spot,Supramax,2025-04-20,2025-05-17,Normal,Spot,25.34,USD,30,Standard,2025-04-07T00:00:00Z
9519,Coking Coal,PCI Coal,59200,"Balikpapan, Indonesia",1,2022-02-28,2022-03-10,CoA,Supramax,2022-03-03,2022-03-22,Normal,CoA,16.98,USD,20,Fast discharge required,2022-02-16T00:00:00Z
9520,Thermal Coal,Indonesian High Calorie Coal,67900,"Vostochny, Russia",1,2023-10-24,2023-10-29,CoA,Panamax,2023-10-27,2023-12-13,Normal,CoA,37.51,USD,50,Geared vessel required,2023-10-17T00:00:00Z
9521,Coking Coal,PCI Coal,61600,"Maputo, Mozambique",9,2021-06-01,2021-06-08,Spot,Supramax,2021-06-07,2021-07-24,Normal,Spot,38.62,USD,50,Standard,2021-05-17T00:00:00Z
9522,Coking Coal,Hard Coking Coal,56900,"Port Hedland, Australia",1,2021-05-06,2021-05-11,Spot,Supramax,2021-05-08,2021-06-05,Normal,Spot,22.51,USD,30,Standard,2021-04-07T00:00:00Z
9523,Limestone,Calcined Lime,79600,"Samarinda, Indonesia",9,2024-03-31,2024-04-07,Spot,Panamax,2024-04-05,2024-04-22,Normal,Spot,13.38,USD,20,Geared vessel required,2024-03-02T00:00:00Z
9524,Coking Coal,Semi-Soft Coking Coal,79700,"Baltimore, USA",1,2023-01-28,2023-02-07,Spot,Panamax,2023-02-01,2023-03-24,Normal,Spot,37.52,USD,50,Standard,2023-01-09T00:00:00Z
9525,Coking Coal,Hard Coking Coal,72400,"Hay Point, Australia",3,2023-05-26,2023-06-02,CoA,Panamax,2023-05-30,2023-06-27,Normal,CoA,23.07,USD,30,Standard,2023-05-05T00:00:00Z
9526,Coking Coal,PCI Coal,75700,"Norfolk, USA",3,2024-11-27,2024-12-02,Spot,Panamax,2024-12-01,2025-01-23,Normal,Spot,37.29,USD,50,Standard,2024-11-11T00:00:00Z
9527,Limestone,SMS Grade Limestone,81200,"Newcastle, Australia",4,2025-03-15,2025-03-20,Spot,Panamax,2025-03-19,2025-04-16,Normal,Spot,24.55,USD,30,Standard,2025-03-02T00:00:00Z
9528,Coking Coal,PCI Coal,76500,"Balikpapan, Indonesia",3,2023-11-02,2023-11-16,CoA,Panamax,2023-11-03,2023-11-21,Normal,CoA,14.32,USD,20,Standard,2023-10-24T00:00:00Z
9529,Coking Coal,Semi-Soft Coking Coal,60500,"Hay Point, Australia",2,2023-11-01,2023-11-06,CoA,Supramax,2023-11-02,2023-12-05,Normal,CoA,25.16,USD,30,Standard,2023-10-11T00:00:00Z
9530,Limestone,Calcined Lime,61800,"Balikpapan, Indonesia",3,2024-03-10,2024-03-17,Spot,Supramax,2024-03-15,2024-04-02,Normal,Spot,16.01,USD,20,Standard,2024-02-10T00:00:00Z
9531,Thermal Coal,Indonesian High Calorie Coal,60800,"Hay Point, Australia",3,2024-01-03,2024-01-08,CoA,Supramax,2024-01-07,2024-02-04,Normal,CoA,22.25,USD,30,Standard,2023-12-07T00:00:00Z
9532,Coking Coal,PCI Coal,170500,"Norfolk, USA",4,2022-02-01,2022-02-06,Spot,Capesize,2022-02-04,2022-03-27,Normal,Spot,29.32,USD,50,Standard,2022-01-06T00:00:00Z
9533,Coking Coal,Semi-Soft Coking Coal,73700,"Vostochny, Russia",2,2023-09-26,2023-10-06,CoA,Panamax,2023-10-02,2023-11-19,Normal,CoA,37.18,USD,50,Standard,2023-09-11T00:00:00Z
9534,Iron Ore,Lump Ore,180400,"Balikpapan, Indonesia",1,2021-03-29,2021-04-08,Spot,Capesize,2021-03-31,2021-04-23,Normal,Spot,11.8,USD,20,Standard,2021-03-02T00:00:00Z
9535,Thermal Coal,Indonesian High Calorie Coal,55900,"Port Hedland, Australia",6,2022-04-26,2022-05-03,Spot,Supramax,2022-05-01,2022-06-03,Normal,Spot,22.62,USD,30,Standard,2022-04-06T00:00:00Z
9536,Iron Ore,Lump Ore,60300,"Norfolk, USA",2,2023-12-20,2023-12-30,Spot,Supramax,2023-12-28,2024-02-13,Normal,Spot,38.25,USD,50,Standard,2023-11-28T00:00:00Z
9537,Coking Coal,PCI Coal,161700,"Tanjung Priok, Indonesia",1,2023-04-21,2023-05-05,Spot,Capesize,2023-05-04,2023-05-21,High,Spot,13.62,USD,20,Standard,2023-03-23T00:00:00Z
9538,Thermal Coal,Indonesian High Calorie Coal,78100,"Norfolk, USA",8,2025-04-05,2025-04-10,Spot,Panamax,2025-04-09,2025-06-01,Normal,Spot,36.44,USD,50,Geared vessel required,2025-03-13T00:00:00Z
9539,Coking Coal,Hard Coking Coal,51500,"Balikpapan, Indonesia",4,2025-01-09,2025-01-14,Spot,Supramax,2025-01-10,2025-01-27,Normal,Spot,13.53,USD,20,Standard,2024-12-24T00:00:00Z
9540,Iron Ore,Iron Ore Fines 62% Fe,141200,"Newcastle, Australia",1,2023-06-24,2023-07-01,CoA,Capesize,2023-06-25,2023-07-25,Urgent,CoA,21.03,USD,30,Standard,2023-06-03T00:00:00Z
9541,Coking Coal,Semi-Soft Coking Coal,51500,"Balikpapan, Indonesia",6,2022-03-30,2022-04-06,Spot,Supramax,2022-04-04,2022-04-26,Normal,Spot,12.96,USD,20,Standard,2022-03-03T00:00:00Z
9542,Iron Ore,Iron Ore Pellets,54400,"Gladstone, Australia",4,2021-05-22,2021-05-27,Spot,Supramax,2021-05-26,2021-06-22,Normal,Spot,23.26,USD,30,Self-unloader preferred,2021-04-26T00:00:00Z
9543,Coking Coal,PCI Coal,77500,"Balikpapan, Indonesia",3,2023-02-01,2023-02-08,Spot,Panamax,2023-02-05,2023-02-24,Normal,Spot,14.83,USD,20,Standard,2023-01-17T00:00:00Z
9544,Limestone,Calcined Lime,59600,"Hay Point, Australia",2,2021-08-23,2021-09-02,Spot,Supramax,2021-08-25,2021-09-23,Normal,Spot,23.33,USD,30,Standard,2021-08-15T00:00:00Z
9545,Coking Coal,Hard Coking Coal,166000,"Norfolk, USA",3,2021-08-08,2021-08-22,Spot,Capesize,2021-08-14,2021-10-02,Normal,Spot,30.52,USD,50,Standard,2021-07-12T00:00:00Z
9546,Thermal Coal,Indonesian High Calorie Coal,72000,"Norfolk, USA",2,2022-04-25,2022-05-05,CoA,Panamax,2022-05-04,2022-06-23,High,CoA,37.27,USD,50,Standard,2022-04-17T00:00:00Z
9547,Thermal Coal,Indonesian High Calorie Coal,60100,"Tanjung Priok, Indonesia",2,2022-05-28,2022-06-02,CoA,Supramax,2022-05-31,2022-06-19,Normal,CoA,15.05,USD,20,Standard,2022-05-18T00:00:00Z
9548,Coking Coal,Hard Coking Coal,71900,"Vostochny, Russia",9,2023-02-07,2023-02-12,Spot,Panamax,2023-02-08,2023-03-27,Normal,Spot,35.62,USD,50,Standard,2023-01-17T00:00:00Z
9549,Limestone,Calcined Lime,68200,"Vostochny, Russia",1,2023-10-22,2023-10-29,Spot,Panamax,2023-10-26,2023-12-14,Normal,Spot,36.65,USD,50,Standard,2023-10-05T00:00:00Z
9550,Coking Coal,Hard Coking Coal,59700,"Newcastle, Australia",2,2021-04-20,2021-04-30,CoA,Supramax,2021-04-24,2021-05-27,Normal,CoA,24.06,USD,30,Standard,2021-03-31T00:00:00Z
9551,Coking Coal,Semi-Soft Coking Coal,77700,"Hay Point, Australia",3,2022-06-28,2022-07-08,Spot,Panamax,2022-07-01,2022-07-30,Normal,Spot,23.78,USD,30,Standard,2022-05-30T00:00:00Z
9552,Coking Coal,Semi-Soft Coking Coal,78100,"Vostochny, Russia",2,2022-08-23,2022-09-06,Spot,Panamax,2022-08-27,2022-10-17,Normal,Spot,38.11,USD,50,Low moisture cargo,2022-08-12T00:00:00Z
9553,Limestone,SMS Grade Limestone,70500,"Baltimore, USA",4,2022-02-25,2022-03-04,Spot,Panamax,2022-03-01,2022-04-17,Normal,Spot,36.67,USD,50,Standard,2022-02-11T00:00:00Z
9554,Thermal Coal,Non-Coking Coal Grade G1-G5,56400,"Vostochny, Russia",2,2024-02-16,2024-02-21,CoA,Supramax,2024-02-20,2024-04-11,High,CoA,37.7,USD,50,Standard,2024-02-09T00:00:00Z
9555,Coking Coal,Semi-Soft Coking Coal,68300,"Vostochny, Russia",2,2022-01-26,2022-02-02,Spot,Panamax,2022-01-30,2022-03-19,High,Spot,37.01,USD,50,Standard,2022-01-11T00:00:00Z
9556,Coking Coal,Semi-Soft Coking Coal,146800,"Maputo, Mozambique",1,2025-01-03,2025-01-08,Spot,Capesize,2025-01-07,2025-02-23,Normal,Spot,34.34,USD,50,Self-unloader preferred,2024-12-07T00:00:00Z
9557,Thermal Coal,Indonesian High Calorie Coal,69900,"Samarinda, Indonesia",1,2026-01-21,2026-01-31,Spot,Panamax,2026-01-30,2026-02-16,Normal,Spot,14.6,USD,20,Standard,2026-01-14T00:00:00Z
9558,Coking Coal,Semi-Soft Coking Coal,58000,"Hay Point, Australia",2,2026-03-08,2026-03-18,CoA,Supramax,2026-03-10,2026-04-10,Normal,CoA,25.36,USD,30,Standard,2026-02-19T00:00:00Z
9559,Iron Ore,Lump Ore,166500,"Tanjung Priok, Indonesia",3,2022-04-27,2022-05-02,Spot,Capesize,2022-04-30,2022-05-22,High,Spot,9.64,USD,20,Standard,2022-04-08T00:00:00Z
9560,Coking Coal,PCI Coal,28600,"Newcastle, Australia",6,2024-03-01,2024-03-06,Spot,Handysize,2024-03-04,2024-04-02,Normal,Spot,27.73,USD,30,Standard,2024-02-06T00:00:00Z
9561,Coking Coal,Hard Coking Coal,52100,"Norfolk, USA",2,2021-06-04,2021-06-09,Spot,Supramax,2021-06-08,2021-07-27,Normal,Spot,38.66,USD,50,Standard,2021-05-19T00:00:00Z
9562,Coking Coal,Semi-Soft Coking Coal,69900,"Maputo, Mozambique",4,2023-01-28,2023-02-07,Spot,Panamax,2023-01-31,2023-03-22,High,Spot,38.31,USD,50,Standard,2023-01-18T00:00:00Z
9563,Limestone,Calcined Lime,70500,"Hay Point, Australia",3,2022-03-25,2022-04-04,Spot,Panamax,2022-03-30,2022-04-29,Normal,Spot,24.43,USD,30,Standard,2022-02-25T00:00:00Z
9564,Coking Coal,Semi-Soft Coking Coal,59400,"Newcastle, Australia",1,2023-03-15,2023-03-20,Spot,Supramax,2023-03-16,2023-04-14,Normal,Spot,23.33,USD,30,Standard,2023-02-14T00:00:00Z
9565,Coking Coal,Hard Coking Coal,80900,"Maputo, Mozambique",4,2025-10-26,2025-11-05,Spot,Panamax,2025-11-03,2025-12-26,Normal,Spot,38.27,USD,50,Standard,2025-09-30T00:00:00Z
9566,Limestone,Calcined Lime,76000,"Balikpapan, Indonesia",3,2023-01-07,2023-01-14,Spot,Panamax,2023-01-09,2023-01-26,High,Spot,15.91,USD,20,Standard,2022-12-26T00:00:00Z
9567,Iron Ore,Lump Ore,71500,"Hay Point, Australia",1,2023-02-05,2023-02-10,Spot,Panamax,2023-02-08,2023-03-08,Normal,Spot,24.24,USD,30,Standard,2023-01-20T00:00:00Z
9568,Iron Ore,Iron Ore Pellets,59400,"Samarinda, Indonesia",5,2024-03-02,2024-03-12,Spot,Supramax,2024-03-07,2024-03-25,Normal,Spot,13.35,USD,20,Standard,2024-02-14T00:00:00Z
9569,Coking Coal,PCI Coal,55400,"Hay Point, Australia",5,2024-08-23,2024-08-30,CoA,Supramax,2024-08-27,2024-09-24,Normal,CoA,25.59,USD,30,Standard,2024-08-01T00:00:00Z
9570,Thermal Coal,Non-Coking Coal Grade G1-G5,70500,"Hay Point, Australia",2,2024-08-20,2024-08-25,CoA,Panamax,2024-08-24,2024-09-22,Normal,CoA,26.08,USD,30,Standard,2024-07-27T00:00:00Z
9571,Thermal Coal,Non-Coking Coal Grade G1-G5,68800,"Hay Point, Australia",1,2021-06-25,2021-06-30,Spot,Panamax,2021-06-29,2021-07-29,High,Spot,25.72,USD,30,Standard,2021-05-28T00:00:00Z
9572,Coking Coal,PCI Coal,60500,"Gladstone, Australia",1,2025-02-10,2025-02-15,CoA,Supramax,2025-02-12,2025-03-13,Normal,CoA,23.21,USD,30,Standard,2025-01-21T00:00:00Z
9573,Coking Coal,Semi-Soft Coking Coal,77700,"Samarinda, Indonesia",2,2024-10-03,2024-10-08,CoA,Panamax,2024-10-04,2024-10-27,Normal,CoA,13.05,USD,20,Standard,2024-09-13T00:00:00Z
9574,Coking Coal,Semi-Soft Coking Coal,66600,"Hay Point, Australia",1,2022-03-30,2022-04-04,CoA,Panamax,2022-03-31,2022-04-30,Normal,CoA,28.36,USD,30,Fast discharge required,2022-03-16T00:00:00Z
9575,Coking Coal,PCI Coal,53000,"Norfolk, USA",1,2024-02-19,2024-02-26,Spot,Supramax,2024-02-20,2024-04-13,Normal,Spot,39.9,USD,50,Standard,2024-02-07T00:00:00Z
9576,Iron Ore,Iron Ore Pellets,68200,"Gladstone, Australia",2,2023-06-13,2023-06-20,Spot,Panamax,2023-06-16,2023-07-18,Normal,Spot,22.53,USD,30,Standard,2023-05-27T00:00:00Z
9577,Thermal Coal,Non-Coking Coal Grade G1-G5,69200,"Baltimore, USA",1,2021-03-23,2021-04-02,CoA,Panamax,2021-03-25,2021-05-16,Normal,CoA,37.54,USD,50,Standard,2021-03-02T00:00:00Z
9578,Iron Ore,Iron Ore Fines 62% Fe,77600,"Norfolk, USA",1,2021-02-21,2021-03-03,Spot,Panamax,2021-02-26,2021-04-20,High,Spot,36.42,USD,50,Standard,2021-02-03T00:00:00Z
9579,Coking Coal,Semi-Soft Coking Coal,80100,"Balikpapan, Indonesia",8,2024-09-25,2024-10-05,CoA,Panamax,2024-09-28,2024-10-17,High,CoA,15.19,USD,20,Fast discharge required,2024-09-17T00:00:00Z
9580,Coking Coal,Hard Coking Coal,65600,"Port Hedland, Australia",9,2023-09-08,2023-09-15,Spot,Panamax,2023-09-09,2023-10-08,Normal,Spot,24.37,USD,30,Standard,2023-08-12T00:00:00Z
9581,Coking Coal,Semi-Soft Coking Coal,53600,"Balikpapan, Indonesia",5,2022-02-16,2022-02-23,Spot,Supramax,2022-02-22,2022-03-13,Normal,Spot,14.4,USD,20,Standard,2022-01-26T00:00:00Z
9582,Coking Coal,PCI Coal,61700,"Port Hedland, Australia",1,2025-02-14,2025-02-21,Spot,Supramax,2025-02-18,2025-03-23,Normal,Spot,22.38,USD,30,Standard,2025-01-16T00:00:00Z
9583,Thermal Coal,Non-Coking Coal Grade G1-G5,68200,"Vostochny, Russia",1,2026-02-02,2026-02-09,Spot,Panamax,2026-02-04,2026-03-26,Normal,Spot,35.91,USD,50,Standard,2026-01-25T00:00:00Z
9584,Coking Coal,Semi-Soft Coking Coal,75400,"Gladstone, Australia",4,2024-08-20,2024-08-30,Spot,Panamax,2024-08-25,2024-09-26,Normal,Spot,23.81,USD,30,Fast discharge required,2024-08-13T00:00:00Z
9585,Limestone,Calcined Lime,72700,"Samarinda, Indonesia",4,2022-12-21,2022-12-26,Spot,Panamax,2022-12-23,2023-01-11,Normal,Spot,14.25,USD,20,Standard,2022-11-30T00:00:00Z
9586,Coking Coal,Semi-Soft Coking Coal,76700,"Gladstone, Australia",3,2023-10-22,2023-11-01,CoA,Panamax,2023-10-23,2023-11-25,Normal,CoA,23.93,USD,30,Standard,2023-09-29T00:00:00Z
9587,Iron Ore,Iron Ore Fines 62% Fe,71200,"Samarinda, Indonesia",1,2024-05-25,2024-05-30,Spot,Panamax,2024-05-28,2024-06-14,Normal,Spot,14.5,USD,20,Self-unloader preferred,2024-05-15T00:00:00Z
9588,Coking Coal,PCI Coal,68700,"Norfolk, USA",1,2024-06-27,2024-07-04,CoA,Panamax,2024-06-29,2024-08-20,High,CoA,38.01,USD,50,Standard,2024-06-04T00:00:00Z
9589,Thermal Coal,Indonesian High Calorie Coal,68500,"Samarinda, Indonesia",3,2023-10-02,2023-10-09,Spot,Panamax,2023-10-06,2023-10-24,High,Spot,14.77,USD,20,Standard,2023-09-16T00:00:00Z
9590,Limestone,Calcined Lime,78100,"Newcastle, Australia",3,2021-04-22,2021-04-27,CoA,Panamax,2021-04-24,2021-05-27,Normal,CoA,24.82,USD,30,Standard,2021-04-08T00:00:00Z
9591,Coking Coal,Semi-Soft Coking Coal,59700,"Maputo, Mozambique",9,2023-08-25,2023-09-01,Spot,Supramax,2023-08-26,2023-10-17,Normal,Spot,40.03,USD,50,Standard,2023-08-08T00:00:00Z
9592,Coking Coal,Semi-Soft Coking Coal,78000,"Tanjung Priok, Indonesia",1,2023-09-10,2023-09-20,CoA,Panamax,2023-09-16,2023-10-03,Normal,CoA,13.86,USD,20,Standard,2023-08-15T00:00:00Z
9593,Thermal Coal,Non-Coking Coal Grade G1-G5,81500,"Norfolk, USA",3,2023-01-03,2023-01-10,Spot,Panamax,2023-01-08,2023-02-27,Normal,Spot,39.29,USD,50,Standard,2022-12-15T00:00:00Z
9594,Coking Coal,PCI Coal,156400,"Baltimore, USA",3,2023-11-22,2023-11-27,Spot,Capesize,2023-11-25,2024-01-13,High,Spot,32.45,USD,50,Standard,2023-11-02T00:00:00Z
9595,Coking Coal,PCI Coal,55800,"Hay Point, Australia",2,2024-03-21,2024-03-31,CoA,Supramax,2024-03-26,2024-04-25,Normal,CoA,24.11,USD,30,Standard,2024-03-08T00:00:00Z
9596,Thermal Coal,Indonesian High Calorie Coal,58500,"Hay Point, Australia",8,2025-04-17,2025-04-22,CoA,Supramax,2025-04-20,2025-05-21,Normal,CoA,26.45,USD,30,Standard,2025-03-19T00:00:00Z
9597,Thermal Coal,Non-Coking Coal Grade G1-G5,72600,"Tanjung Priok, Indonesia",2,2022-12-07,2022-12-21,Spot,Panamax,2022-12-11,2022-12-30,High,Spot,14.81,USD,20,Standard,2022-11-14T00:00:00Z
9598,Coking Coal,PCI Coal,69100,"Maputo, Mozambique",1,2025-12-09,2025-12-14,CoA,Panamax,2025-12-13,2026-01-30,Normal,CoA,39.46,USD,50,Standard,2025-11-15T00:00:00Z
9599,Limestone,Calcined Lime,68500,"Maputo, Mozambique",1,2023-12-24,2023-12-31,CoA,Panamax,2023-12-30,2024-02-17,High,CoA,37.64,USD,50,Standard,2023-12-06T00:00:00Z
9600,Coking Coal,Semi-Soft Coking Coal,54900,"Norfolk, USA",2,2026-03-06,2026-03-11,Spot,Supramax,2026-03-10,2026-04-28,Normal,Spot,36.81,USD,50,Standard,2026-02-11T00:00:00Z
9601,Coking Coal,Semi-Soft Coking Coal,160600,"Vostochny, Russia",3,2024-03-15,2024-03-20,CoA,Capesize,2024-03-16,2024-05-03,Normal,CoA,35.77,USD,50,Standard,2024-02-22T00:00:00Z
9602,Limestone,Calcined Lime,77700,"Balikpapan, Indonesia",3,2022-10-10,2022-10-15,Spot,Panamax,2022-10-14,2022-11-05,Normal,Spot,18.62,USD,20,Standard,2022-09-21T00:00:00Z
9603,Coking Coal,PCI Coal,66700,"Vostochny, Russia",1,2023-12-15,2023-12-20,Spot,Panamax,2023-12-19,2024-02-05,Normal,Spot,39.35,USD,50,Standard,2023-12-03T00:00:00Z
9604,Iron Ore,Lump Ore,74600,"Samarinda, Indonesia",1,2021-06-10,2021-06-20,Spot,Panamax,2021-06-11,2021-07-01,Urgent,Spot,16.57,USD,20,Standard,2021-06-02T00:00:00Z
